"","StuNum","avgYearPack","numYearAward","SexCode","MaritalCode","LeadCategoryCode","PrevEdCode","AdmRepName","ProgramCode","CitizenCode","IsHispanic","DDVeteran","cancelFlag.x"
"1","11800",23969.3333333333,3,"F","UN","REF","SOMECOLL","19","2","US","2","0","0"
"2","11221",36718,2,"F","S","INTINT","SOMECOLL","15","2","US","1","0","0"
"3","11244",7710,2,"F","M","REF","ASSOC","30","2","US","2","0","1"
"4","12015",27188.2,2,"M","M","INTINT","BACH","07","1","US","2","0","0"
"5","11122",24804.9433333333,3,"F","S","RADIO","BACH","15","2","US","2","1","0"
"6","10124",19721.975,2,"F","M","REF","ASSOC","14","2","ELNC","1","0","0"
"7","10312",23355,1,"F","M","INTER","UN","18","1","US","2","0","0"
"8","11034",22224.475,4,"F","S","PPC","SOMECOLL","15","2","US","1","0","0"
"9","10785",25551.3933333333,3,"F","D","PPC","BACH","02","2","US","2","0","0"
"10","11636",39032.75,2,"F","M","RADIO","SOMECOLL","03","2","US","2","0","0"
"11","12159",24715.1533333333,3,"F","M","REF","SOMECOLL","07","2","US","1","0","0"
"12","11381",38304.78,2,"F","M","REF","SOMECOLL","15","2","US","1","0","0"
"13","10344",5730,1,"F","P","PPC","HS","15","2","US","2","0","0"
"14","10601",30673.92,3,"F","M","RADIO","ASSOC","15","2","US","1","0","0"
"15","10978",8591,2,"M","S","DIRMAIL","SOMECOLL","19","2","US","1","0","0"
"16","11155",12180,2,"F","P","PPC","HS","14","1","ELNC","2","0","0"
"17","10812",36966.945,2,"F","S","INTER","SOMECOLL","15","2","US","1","0","0"
"18","11217",25220,4,"F","S","REF","SOMECOLL","14","2","US","1","0","0"
"19","11953",25544.2,3,"F","S","PPC","ASSOC","07","2","US","1","0","0"
"20","10482",15420,1,"F","S","PPC","UN","07","2","US","2","0","1"
"21","10322",44383.075,2,"M","M","REF","SOMECOLL","15","2","US","2","0","0"
"22","11137",37057.135,2,"F","S","REF","BACH","19","2","US","1","0","0"
"23","11984",24828.7,3,"F","M","RADIO","SOMECOLL","15","2","US","2","0","0"
"24","11068",36258,2,"F","S","INTINT","SOMECOLL","15","2","US","2","0","0"
"25","11246",2877.25,1,"F","S","PRINT","SOMECOLL","03","1","US","2","0","0"
"26","10896",23192,1,"F","M","INTER","SOMECOLL","14","1","US","2","0","0"
"27","11414",21727.3875,4,"F","S","INTINT","BACH","15","2","US","2","0","0"
"28","10643",7364.3,1,"F","S","INTINT","SOMECOLL","13","2","US","2","0","0"
"29","11348",21723,3,"F","S","INTINT","BACH","03","2","US","2","0","0"
"30","11212",25114.562,5,"F","S","RADIO","BACH","06","2","US","2","0","0"
"31","11686",20599.71,2,"F","D","PPC","HS","07","2","US","2","0","0"
"32","11228",30620.3333333333,3,"F","S","REF","SOMECOLL","19","2","US","2","0","0"
"33","10602",29644.3333333333,3,"F","S","REF","BACH","15","2","US","1","0","0"
"34","10691",14071,1,"F","M","INTER","SOMECOLL","31","1","US","2","0","1"
"35","11789",14733.53,1,"F","S","INTINT","SOMECOLL","01","1","US","2","0","0"
"36","11783",24992.8,3,"F","S","INTER","SOMECOLL","15","2","US","2","0","0"
"37","12103",20711,1,"F","M","RADIO","HS","07","2","US","2","0","0"
"38","10081",12326,1,"F","S","INTER","ASSOC","15","2","US","2","0","0"
"39","11562",12548,1,"F","S","PPC","ASSOC","07","1","US","2","0","1"
"40","10119",31067,3,"F","S","INTER","UN","14","1","US","1","0","0"
"41","10631",25653.87,1,"M","M","OUTDOOR","HS","15","2","US","1","0","0"
"42","10951",32732.9,2,"F","M","INTER","SOMECOLL","13","1","US","2","0","0"
